bin_left,bin_right,center,count
0,5,2.5,89
5,10,7.5,291
10,15,12.5,742
15,20,17.5,938
20,25,22.5,947
25,30,27.5,1001
30,35,32.5,1286
35,40,37.5,1323
40,45,42.5,1326
45,50,47.5,1505
50,55,52.5,1543
55,60,57.5,1660
60,65,62.5,1596
65,70,67.5,1664
70,75,72.5,1673
75,80,77.5,1707
80,85,82.5,1689
85,90,87.5,1698
90,95,92.5,1657
95,100,97.5,1497
100,105,102.5,1605
105,110,107.5,1481
110,115,112.5,1390
115,120,117.5,1410
120,125,122.5,1286
125,130,127.5,1205
130,135,132.5,1170
135,140,137.5,996
140,145,142.5,863
145,150,147.5,759
150,155,152.5,605
155,160,157.5,520
160,165,162.5,414
165,170,167.5,331
170,175,172.5,191
175,180,177.5,67
